SURFACE WATER REGRESSION RESULTS,,,,,,
Model ,R2,RMSE,MAE,NSE,5 FOLD CV R2,10 FOLD CV R2
SVM,0.9253,4.848,3.8992,0.9253,0.995 ± 0.010 ,1.000 ± 0.000
Random Forest,0.8717,6.3548,4.3407,0.8717,0.982 ± 0.016 ,0.996 ± 0.004
XGBoost,0.8614,6.6049,4.0009,0.8614, 0.980 ± 0.014 ,0.986 ± 0.015
Gradient Boosting,0.8422,7.0453,5.3579,0.8422, 0.999 ± 0.001 ,0.999 ± 0.001
Decision Tree,0.731,9.1992,6.9126,0.731,0.999 ± 0.002, 0.999 ± 0.002
,,,,,,
SURFACE WATER CLASSIFICATION RESULT,,,,,,
Model,Accuracy,Prcision,Recall,F1 Score,MCC,5 FOLD CV ACC
Decision Tree,1,1,1,1,1, 0.996 ± 0.008
Gradient Boosting,0.8889,0.9111,0.8889,0.8871,0.83,1.000 ± 0.000
XGBoost,0.7778,0.7778,0.7778,0.7778,0.625,0.992 ± 0.010
Random Forest,0.7778,0.6889,0.7778,0.7284,0.6162, 1.000 ± 0.000
KNN,0.7778,0.6889,0.7778,0.7284,0.6162,0.988 ± 0.025
SVM,0.3333,0.2889,0.3333,0.3086,-0.2054, 0.979 ± 0.026
,,,,,,
GROUND WATER REGRESSION RESULT,,,,,,
Model,R2,RMSE,MAE,NSE,5 FOLD CV R2,10 FOLD CV R2
Decision Tree,0.9999,2.4487,1.9279,0.9999,0.992 ± 0.008 ,1.000 ±0.000 
Gradient Boosting,0.9998,4.1461,3.3648,0.9998,0.985 ± 0.029 ,0.999 ± 0.001 
Random Forest,0.999,9.4855,7.0084,0.999,0.986 ± 0.020 ,0.996 ± 0.006
XGBoost,0.9894,30.9896,24.4996,0.9894,0.797 ± 0.371 ,0.909  ± 0.197
SVR,0.8563,114.3073,25.0833,0.8593,0.598 ± 0.112 ,0.704 ± 0.166
,   ,,,,GROUND WATER CLASSIFICATION RESULT,
Model,Accuracy ,Precision ,Recall,F1 Score,MCC ,5 FOLD CV ACC
KNN,1,1,1,1,1, 0.987 ± 0.027
Random Forest,0.8889,0.9111,0.8889,0.8765,0.8504,1.0000 ± 0.0000
SVM,0.8889,0.9111,0.8889,0.8765,0.8504,0.991 ± 0.018 
Gradient Boosting,0.7778,0.6296,0.7778,0.6889,0.7184,1.0000 ± 0.0000
Decision Tree,0.7778,0.6296,0.7778,0.6889,0.7184,0.987 ± 0.011 
XGBoost,0.6667,0.5259,0.6667,0.5852,0.532,0.987 ± 0.018 
